episode,total_reward,steps,hitl_overrides,success,epsilon
178,-129.5,24,0,0,0.245844005
179,-99,96,0,0,0.244614785
180,-131.5,38,0,0,0.243391712
181,441.5,166,0,1,0.242174753
182,-130.5,22,0,0,0.240963879
183,-37.5,112,0,0,0.23975906
184,-127.5,24,0,0,0.238560264
185,-161,66,0,0,0.237367463
186,-91.5,57,0,0,0.236180626
187,415,172,0,1,0.234999723
188,483.5,143,0,1,0.233824724
189,-54.5,74,0,0,0.2326556
190,-55.5,75,0,0,0.231492322
191,422,162,0,1,0.230334861
192,415,128,0,1,0.229183187
193,482.5,150,0,1,0.228037271
194,507.5,162,0,1,0.226897084
195,556.5,168,0,1,0.225762599
196,-103.5,62,0,0,0.224633786
197,-83,77,0,0,0.223510617
198,-60,67,0,0,0.222393064
199,501.5,148,0,1,0.221281099
200,509.5,172,0,1,0.220174693
201,-102,41,0,0,0.21907382
202,479.5,169,0,1,0.21797845
203,481.5,169,0,1,0.216888558
204,-49.5,80,0,0,0.215804115
205,406.5,132,0,1,0.214725095
206,-37.5,99,0,0,0.213651469
207,460,147,0,1,0.212583212
208,-51,119,0,0,0.211520296
209,-45,108,0,0,0.210462694
210,-71.5,64,0,0,0.209410381
211,-83,74,0,0,0.208363329
212,-114,65,0,0,0.207321512
213,-76,60,0,0,0.206284905
214,440,138,0,1,0.20525348
215,9,144,0,0,0.204227213
216,-55.5,112,0,0,0.203206077
217,-87,74,0,0,0.202190047
218,425,170,0,1,0.201179096
219,-99.5,61,0,0,0.200173201
220,514.5,159,0,1,0.199172335
221,460,116,0,1,0.198176473
222,433,133,0,1,0.197185591
223,427.5,132,0,1,0.196199663
224,-68.5,136,0,0,0.195218665
225,486,148,0,1,0.194242571
226,-6,129,0,0,0.193271358
227,3.5,140,0,0,0.192305002
228,-87.5,153,0,0,0.191343477
229,-45,92,0,0,0.190386759
230,-67.5,71,0,0,0.189434825
231,420,155,0,1,0.188487651
232,35,125,0,0,0.187545213
233,558.5,177,0,1,0.186607487
234,498,142,0,1,0.185674449
235,530.5,180,0,1,0.184746077
236,512,165,0,1,0.183822347
237,435,147,0,1,0.182903235
238,452.5,117,0,1,0.181988719
239,532,141,0,1,0.181078775
240,506,142,0,1,0.180173381
241,456.5,129,0,1,0.179272515
242,553.5,168,0,1,0.178376152
243,496.5,159,0,1,0.177484271
244,536,170,0,1,0.17659685
245,490,128,0,1,0.175713866
246,473,127,0,1,0.174835296
247,488,115,0,1,0.17396112
248,454.5,104,0,1,0.173091314
249,453,97,0,1,0.172225858
250,451.5,105,0,1,0.171364728
